                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                  0.854,                 0.7374,                 1.0456,                0.82038,                0.83068,                0.86741,                0.70908,                0.78747,                0.58526,                0.94914,             6.2451e-05,             6.2451e-05,             6.2451e-05
                     51,                0.91615,                 0.7619,                 1.0614,                0.82953,                0.83456,                0.87521,                0.71212,                0.78337,                 0.5818,                0.94739,             6.1273e-05,             6.1273e-05,             6.1273e-05
                     52,                0.87603,                0.76129,                 1.0585,                0.85091,                0.82478,                0.87651,                0.71302,                0.77975,                0.57912,                0.94578,             6.0095e-05,             6.0095e-05,             6.0095e-05
                     53,                0.88008,                 0.7565,                 1.0349,                0.87474,                0.81498,                0.87677,                0.71626,                0.77341,                 0.5738,                  0.944,             5.8917e-05,             5.8917e-05,             5.8917e-05
                     54,                0.93556,                0.80253,                 1.0667,                0.89449,                0.80981,                0.87747,                0.72127,                0.77021,                0.56895,                0.94258,             5.7739e-05,             5.7739e-05,             5.7739e-05
                     55,                 0.8718,                0.74445,                 1.0436,                  0.896,                0.80824,                0.88052,                0.72593,                0.76549,                0.56408,                0.94189,             5.6561e-05,             5.6561e-05,             5.6561e-05
                     56,                 0.8772,                0.74283,                 1.0544,                 0.8861,                0.81985,                0.88264,                0.72781,                0.75981,                 0.5582,                0.93974,             5.5383e-05,             5.5383e-05,             5.5383e-05
                     57,                0.85846,                0.75297,                 1.0653,                0.87838,                0.82031,                 0.8807,                0.72569,                0.75922,                0.55456,                0.93876,             5.4204e-05,             5.4204e-05,             5.4204e-05
                     58,                0.87087,                0.71274,                 1.0408,                0.87696,                0.82199,                  0.883,                0.72803,                0.76144,                0.55324,                0.93996,             5.3026e-05,             5.3026e-05,             5.3026e-05
                     59,                0.88037,                0.74447,                 1.0493,                0.88016,                0.81903,                0.88494,                0.72755,                0.76057,                0.55265,                0.93971,             5.1848e-05,             5.1848e-05,             5.1848e-05
